"studytype","grade"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","A"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","B"
"lecture","C"
"lecture","C"
"lecture","C"
"lecture","C"
"lecture","C"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","A"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","B"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"textbook","C"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","A"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","B"
"peer","C"
"peer","C"
"peer","C"
"peer","C"
"peer","C"
"peer","C"
"peer","C"
"peer","C"
"peer","C"
"peer","C"
