"State","BirdNum"
"Michigan",38
"Michigan",50
"Michigan",37
"Michigan",36
"Michigan",64
"Michigan",54
"Michigan",61
"Michigan",18
"Michigan",81
"Michigan",53
"Michigan",56
"Michigan",39
"Michigan",81
"Michigan",49
"Michigan",17
"Michigan",62
"Michigan",68
"Michigan",53
"Michigan",34
"Michigan",69
"Michigan",42
"Michigan",72
"Michigan",57
"Michigan",68
"Michigan",65
"Michigan",43
"Michigan",21
"Michigan",75
"Michigan",10
"Michigan",59
"Michigan",41
"Michigan",41
"Michigan",48
"Michigan",62
"Michigan",32
"Michigan",2
"Michigan",14
"Michigan",83
"Michigan",69
"Michigan",11
"Michigan",33
"Michigan",51
"Michigan",38
"Michigan",14
"Michigan",37
"Michigan",28
"Michigan",11
"Michigan",17
"Michigan",39
"Michigan",37
"Michigan",14
"Michigan",49
"Michigan",42
"Michigan",24
"Michigan",49
"Michigan",36
"Michigan",71
"Michigan",48
"Michigan",40
"Michigan",49
"Michigan",53
"Michigan",19
"Michigan",59
"Michigan",76
"Michigan",84
"Michigan",54
"Michigan",37
"Michigan",79
"Michigan",16
"Michigan",83
"Michigan",70
"Michigan",43
"Michigan",60
"Michigan",12
"Michigan",39
"Michigan",83
"Michigan",35
"Michigan",40
"Michigan",48
"Michigan",68
"Michigan",37
"Michigan",27
"Michigan",44
"Michigan",28
"Michigan",26
"Michigan",16
"Michigan",54
"Michigan",8
"Michigan",47
"Michigan",57
"Michigan",47
"Michigan",36
"Michigan",54
"Michigan",70
"Michigan",42
"Michigan",55
"Michigan",28
"Michigan",78
"Michigan",31
"Michigan",1
"Michigan",36
"Michigan",50
"Michigan",22
"Michigan",63
"Michigan",57
"Michigan",39
"Michigan",15
"Michigan",33
"Michigan",29
"Michigan",43
"Michigan",52
"Michigan",76
"Michigan",23
"Michigan",36
"Michigan",79
"Michigan",53
"Michigan",64
"Michigan",22
"Michigan",32
"Michigan",44
"Michigan",68
"Michigan",46
"Michigan",73
"Michigan",36
"Michigan",44
"Michigan",59
"Michigan",51
"Michigan",63
"Michigan",32
"Michigan",36
"Michigan",53
"Michigan",53
"Michigan",30
"Michigan",25
"Michigan",68
"Michigan",35
"Michigan",32
"Michigan",76
"Michigan",31
"Michigan",79
"Michigan",32
"Michigan",42
"Michigan",84
"Michigan",63
"Michigan",74
"Michigan",23
"Michigan",12
"Michigan",66
"Michigan",44
"Michigan",25
"Michigan",35
"Michigan",53
"Michigan",54
"Michigan",51
"Michigan",77
"Michigan",47
"Michigan",41
"Michigan",73
"Michigan",28
"Michigan",10
"Michigan",24
"Michigan",10
"Michigan",60
"Michigan",50
"Michigan",53
"Michigan",20
"Michigan",21
"Michigan",38
"Michigan",37
"Michigan",54
"Michigan",39
"Michigan",41
"Michigan",81
"Michigan",70
"Michigan",47
"Michigan",70
"Michigan",25
"Michigan",49
"Michigan",71
"Michigan",78
"Michigan",30
"Michigan",59
"Michigan",70
"Michigan",69
"Michigan",32
"Michigan",38
"Michigan",47
"Michigan",48
"Michigan",2
"Michigan",37
"Michigan",61
"Michigan",38
"Michigan",21
"Michigan",64
"Michigan",8
"Michigan",21
"Michigan",54
"Michigan",51
"Michigan",43
"Indiana",27
"Indiana",36
"Indiana",60
"Indiana",19
"Indiana",2
"Indiana",27
"Indiana",41
"Indiana",10
"Indiana",4
"Indiana",27
"Indiana",55
"Indiana",16
"Indiana",15
"Indiana",30
"Indiana",53
"Indiana",33
"Indiana",16
"Indiana",12
"Indiana",5
"Indiana",21
"Indiana",52
"Indiana",53
"Indiana",23
"Indiana",27
"Indiana",33
"Indiana",20
"Indiana",20
"Indiana",6
"Indiana",50
"Indiana",13
"Indiana",5
"Indiana",32
"Indiana",19
"Indiana",38
"Indiana",5
"Indiana",11
"Indiana",20
"Indiana",52
"Indiana",5
"Indiana",2
"Indiana",14
"Indiana",36
"Indiana",12
"Indiana",37
"Indiana",62
"Indiana",17
"Indiana",17
"Indiana",61
"Indiana",4
"Indiana",43
"Indiana",64
"Indiana",43
"Indiana",60
"Indiana",82
"Indiana",19
"Indiana",39
"Indiana",10
"Indiana",9
"Indiana",37
"Indiana",67
"Indiana",13
"Indiana",20
"Indiana",38
"Indiana",15
"Indiana",45
"Indiana",16
"Indiana",82
"Indiana",45
"Indiana",27
"Indiana",26
"Indiana",5
"Indiana",44
"Indiana",32
"Indiana",33
"Indiana",20
"Indiana",31
"Indiana",31
"Indiana",17
"Indiana",48
"Indiana",33
"Indiana",26
"Indiana",58
"Indiana",8
"Indiana",56
"Indiana",51
"Indiana",34
"Indiana",10
"Indiana",66
"Indiana",18
"Indiana",24
"Indiana",56
"Indiana",31
"Indiana",29
"Indiana",26
"Indiana",19
"Indiana",4
"Indiana",34
"Indiana",11
"Indiana",11
"Indiana",62
"Indiana",47
"Indiana",43
"Indiana",37
"Indiana",67
"Indiana",49
"Indiana",56
"Indiana",80
"Indiana",23
"Indiana",37
"Indiana",47
"Indiana",20
"Indiana",23
"Indiana",19
"Indiana",38
"Indiana",47
"Indiana",29
"Indiana",22
"Indiana",29
"Indiana",23
"Indiana",37
"Indiana",55
"Indiana",30
"Indiana",38
"Indiana",26
"Indiana",24
"Indiana",36
"Indiana",24
"Indiana",21
"Indiana",18
"Indiana",63
"Indiana",27
"Indiana",82
"Indiana",19
"Indiana",12
"Indiana",12
"Indiana",46
"Indiana",24
"Indiana",16
"Indiana",58
"Indiana",54
"Indiana",7
"Indiana",35
"Indiana",19
"Indiana",9
"Indiana",8
"Indiana",20
"Indiana",41
"Indiana",1
"Indiana",39
"Indiana",28
"Indiana",15
"Indiana",15
"Indiana",42
"Indiana",4
"Indiana",28
"Indiana",40
"Indiana",15
"Indiana",1
"Indiana",14
"Indiana",6
"Indiana",46
"Indiana",20
"Indiana",3
"Indiana",42
"Indiana",19
"Indiana",71
"Indiana",31
"Indiana",34
"Indiana",20
"Indiana",17
"Indiana",54
"Indiana",39
"Indiana",42
"Indiana",8
"Indiana",53
"Indiana",13
"Indiana",17
"Indiana",63
"Indiana",41
