"social","pet"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","dog"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","cat"
"extrovert","bird"
"extrovert","bird"
"extrovert","bird"
"extrovert","bird"
"extrovert","bird"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","cat"
"introvert","dog"
"introvert","dog"
"introvert","dog"
"introvert","dog"
"introvert","dog"
"introvert","bird"
"introvert","bird"
"introvert","bird"
"introvert","bird"
"introvert","bird"
"introvert","bird"
"introvert","bird"
"introvert","bird"
"introvert","bird"
"introvert","bird"
