student,when,rate
1,before,0
2,before,12.44428705
3,before,2.313572898
4,before,5.061533229
5,before,2.081695433
6,before,15.53500538
7,before,1.530873759
8,before,0
9,before,7.051429673
10,before,0
11,before,0.692088168
12,before,2.372021233
13,before,8.015812902
14,before,6.703416211
15,before,2.692321369
16,before,0
17,before,0
18,before,5.697702127
19,before,0
20,before,1.625198252
21,before,3.025106018
22,before,11.45831977
23,before,0
24,before,10.40049995
25,before,11.91650257
26,before,0
27,before,3.731429902
28,before,0
29,before,3.008753345
30,before,2.337258138
31,before,5.174175878
32,before,6.427152567
33,before,2.965402518
34,before,0
35,before,13.00537861
36,before,0
37,before,0
38,before,0
39,before,10.2147713
40,before,5.866309815
41,before,1.76766207
42,before,2.673842651
43,before,12.35501719
44,before,7.214199847
45,before,7.708586564
46,before,3.990061875
47,before,4.055343544
48,before,10.507174
49,before,0
50,before,0
51,before,4.534080721
52,before,4.814468872
53,before,2.516953293
54,before,0
55,before,2.213503634
56,before,9.18211526
57,before,4.494840838
58,before,4.925355228
59,before,11.42861222
60,before,12.71800947
1,after,5.137221205
2,after,17.16202467
3,after,0
4,after,4.11250887
5,after,9.487579136
6,after,0
7,after,3.02624947
8,after,8.057592386
9,after,3.595901916
10,after,14.47610104
11,after,7.202119944
12,after,12.36761524
13,after,7.809547469
14,after,6.286270292
15,after,6.705301781
16,after,2.727658037
17,after,5.686220701
18,after,9.106310256
19,after,0
20,after,8.203468497
21,after,6.202548266
22,after,10.22307679
23,after,15.70791451
24,after,2.704076383
25,after,2.765657531
26,after,1.362923551
27,after,7.833744509
28,after,4.032843974
29,after,3.507306666
30,after,5.955202153
31,after,13.91552261
32,after,8.102388654
33,after,1.458809358
34,after,5.847007676
35,after,3.250775561
36,after,3.53265588
37,after,14.68144831
38,after,6.528468155
39,after,11.78663423
40,after,13.63782012
41,after,1.696011695
42,after,10.50726671
43,after,16.8857464
44,after,17.8527341
45,after,8.34927635
46,after,11.17417419
47,after,17.27297012
48,after,5.797390658
49,after,2.398710668
50,after,8.352506256
51,after,3.081976696
52,after,10.26954284
53,after,15.44887608
54,after,3.99076455
55,after,5.187283701
56,after,11.46004305
57,after,6.538038385
58,after,13.21848738
59,after,13.41655447
60,after,8.346813442
