type,paid,users,comment,like,share
Photo,0,178,4,79,17
Status,0,1457,5,130,29
Photo,0,177,0,66,14
Photo,1,2211,58,1572,147
Photo,0,671,19,325,49
Status,0,1191,1,152,33
Photo,1,481,3,249,27
Photo,1,537,0,325,14
Status,0,1530,0,161,31
Photo,0,280,3,113,26
Status,0,4258,0,233,19
Photo,0,208,0,88,18
Photo,0,193,0,90,14
Photo,0,249,5,137,10
Photo,1,887,2,577,20
Status,0,1264,4,86,18
Photo,0,163,2,40,12
Photo,1,1706,15,678,20
Status,0,130,4,54,17
Photo,0,121,0,34,8
Photo,0,200,3,66,12
Photo,0,176,0,72,24
Status,0,1341,3,99,19
Status,0,1521,0,88,18
Status,0,2806,10,412,72
Photo,0,212,0,100,17
Photo,0,973,36,523,63
Video,1,1141,18,143,13
Photo,0,385,33,107,22
Photo,0,192,1,27,11
Photo,0,368,2,155,47
Photo,0,268,4,98,23
Photo,0,298,2,56,17
Photo,0,423,6,172,21
Photo,0,252,0,96,17
Photo,1,479,16,76,8
Status,0,5352,11,227,31
Photo,0,306,1,44,14
Status,0,2055,7,216,39
Link,1,517,6,187,18
Link,1,134,7,29,10
Photo,0,355,0,47,11
Link,1,206,4,57,10
Status,0,3572,4,174,36
Link,0,97,6,18,8
Photo,0,338,0,77,15
Photo,0,108,1,48,9
Photo,1,726,24,285,28
Photo,0,355,9,202,31
Photo,0,237,4,64,19
Photo,0,260,4,66,13
Video,1,459,2,65,14
Photo,0,343,2,164,54
Photo,0,165,0,40,13
Photo,0,230,3,76,11
Photo,1,421,4,139,17
Photo,1,417,8,101,14
Photo,1,630,8,144,10
Photo,1,802,10,179,13
Photo,1,541,4,219,22
Photo,0,232,2,60,7
Photo,0,356,19,77,23
Photo,0,197,0,48,7
Photo,1,1576,20,697,70
Photo,0,211,0,53,17
Photo,0,360,7,84,28
Photo,1,588,7,146,9
Video,1,2101,17,449,84
Status,0,1006,3,226,44
Photo,1,555,14,172,47
Video,0,517,2,99,13
Photo,1,1150,20,411,74
Photo,0,438,4,85,8
Photo,0,217,0,56,8
Photo,0,658,2,29,7
Status,0,2295,2,86,13
Photo,0,657,18,370,53
Photo,0,454,5,190,57
Photo,1,321,2,101,19
Status,0,199,2,99,16
Photo,1,384,10,140,8
Link,0,330,2,130,31
Photo,0,550,3,270,38
Photo,0,212,3,30,6
Photo,1,374,2,107,17
Photo,0,845,13,331,77
Photo,0,287,0,78,13
Photo,0,607,9,301,32
Photo,0,310,2,111,16
Photo,0,316,2,124,22
Photo,0,391,5,153,27
Photo,0,324,3,51,11
Photo,0,318,1,115,26
Status,1,2143,7,310,61
Photo,0,785,12,328,90
Photo,0,2624,26,1505,95
Photo,0,288,2,63,14
Photo,1,357,4,59,9
Photo,0,3216,42,955,139
Photo,0,452,9,181,32
Status,0,1132,17,193,28
Photo,0,320,7,125,16
Status,0,2664,4,217,50
Photo,0,311,4,117,18
Photo,1,369,2,79,16
Photo,0,1810,1,431,26
Status,0,2733,6,186,40
Photo,0,474,3,198,41
Photo,0,424,0,56,12
Link,0,204,0,32,16
Status,0,1480,0,129,25
Photo,1,428,4,77,19
Link,0,1032,15,143,44
Status,0,2543,2,227,36
Status,1,6164,60,859,90
Photo,1,714,10,377,60
Photo,1,1462,3,41,9
Photo,1,528,6,76,14
Photo,0,421,0,189,15
Photo,0,303,0,80,14
Status,0,1967,3,148,28
Link,1,111,0,24,11
Photo,0,2105,24,302,41
Photo,0,477,2,166,32
Photo,1,806,47,358,49
Photo,0,813,7,161,25
Photo,0,746,13,319,55
Photo,0,322,0,54,16
Photo,0,469,16,117,30
Photo,0,390,1,115,21
Photo,0,622,30,187,35
Photo,1,346,1,84,13
Photo,0,757,6,363,40
Photo,0,598,6,244,32
Photo,0,769,22,290,98
Status,0,1843,4,243,41
Photo,1,435,0,113,19
Photo,1,519,2,77,5
Photo,1,892,8,485,64
Photo,0,3370,144,1622,208
Photo,1,455,6,99,16
Photo,0,572,3,188,26
Photo,0,360,2,30,6
Status,0,4840,38,163,27
Photo,0,545,6,179,40
Photo,0,584,5,204,34
Status,1,2675,2,165,22
Photo,1,1805,29,1047,98
Photo,0,644,2,234,40
Photo,0,626,7,250,42
Photo,0,537,4,154,36
Status,1,1476,20,150,29
Photo,0,631,4,102,8
Photo,1,588,1,226,44
Video,0,2080,6,345,121
Photo,0,393,11,68,11
Photo,0,374,0,62,10
Photo,0,544,5,223,35
