sucrose,weight,days.old,cactus.type
5,21.65,52,Wild
7,20.29,52,Blanco
6,28.61,52,Blanco
7.8,24.45,52,Blanco
10.8,34.26,53,Blanco
7.2,21.54,52,Blanco
6.4,43.43,59,Mamey
6,21.55,52,Wild
7.6,56.89,55,Tenamaxtle
8.4,52.5,55,Tenamaxtle
6.8,56.69,55,Tenamaxtle
5,32.85,56,Tenamaxtle
5,29.08,56,Tenamaxtle
8.2,58.84,55,Tenamaxtle
6,44.96,55,Tenamaxtle
10,42.49,58,Tenamaxtle
8.6,22.48,54,Blanco
7,19.34,54,Blanco
12.8,42.12,53,Blanco
9,54.59,53,Blanco
7.8,23.18,52,Blanco
6,17.1,52,Blanco
6.8,32.98,52,Blanco
6.4,21.87,52,Blanco
10.2,44.34,53,Blanco
10,31.97,52,Blanco
11.8,28.8,52,Blanco
9,41.02,62,Mamey
13.8,78.97,61,Mamey
5.2,43.2,59,Mamey
11.2,31.9,55,Wild
7,10.61,53,Wild
6,16.51,52,Wild
7.5,58.93,55,Tenamaxtle
7.5,58.93,55,Tenamaxtle
8.5,51.47,55,Tenamaxtle
6,28.32,56,Tenamaxtle
5.4,31.61,56,Tenamaxtle
5.6,45.61,56,Tenamaxtle
5,26.93,55,Tenamaxtle
5.5,27.86,55,Tenamaxtle
7,26.61,55,Tenamaxtle
7,28.23,55,Tenamaxtle
6.4,46.28,55,Tenamaxtle
7,36,55,Tenamaxtle
5,38.86,55,Tenamaxtle
11,86.07,52,Tenamaxtle
8.8,34,57,Tenamaxtle
7.8,64.39,56,Tenamaxtle
9.6,29.61,54,Blanco
12.8,69.97,54,Blanco
12,67.28,53,Blanco
6.8,37.54,52,Blanco
7,46.61,52,Blanco
7.6,40.05,52,Blanco
5.3,41,52,Blanco
7,71.44,50,Blanco
10.8,83.31,46,Blanco
13,116.52,62,Mamey
13,42.26,60,Mamey
6.6,38.8,60,Mamey
4.2,69.15,60,Mamey
14,155.51,59,Mamey
16.5,108.74,59,Mamey
9.8,159.53,59,Mamey
10.6,112.29,56,Mamey
10.2,114.12,56,Mamey
10.4,108.75,54,Mamey
10,48.84,54,Wild
11,89,54,Wild
12,71,55,Wild
10.6,62.08,55,Wild
7,11.58,55,Wild
11.6,73.17,53,Wild
6.8,29.21,53,Wild
6.8,40.34,53,Wild
10.6,64.63,52,Wild
12.6,62.87,52,Wild
7,15.5,52,Wild
5,35.58,52,Wild
6,38.46,52,Wild
6.3,53.9,52,Wild
5.5,24.4,52,Wild
5.7,35.46,52,Wild
6.5,26,52,Wild
7,22.68,52,Wild
10,36.22,52,Wild
12.2,127.83,55,Tenamaxtle
8,59.74,56,Tenamaxtle
7.8,82.02,56,Tenamaxtle
6.4,94.71,55,Tenamaxtle
6.2,80.58,55,Tenamaxtle
8,71.76,55,Tenamaxtle
9.8,80.11,55,Tenamaxtle
11.1,78.69,52,Tenamaxtle
8.9,118.96,55,Tenamaxtle
11.1,83.91,55,Tenamaxtle
11,173.92,53,Tenamaxtle
10,165.77,54,Tenamaxtle
10.8,76.42,53,Tenamaxtle
6.4,77.55,58,Tenamaxtle
13,88.11,54,Blanco
10.8,28.62,54,Blanco
11,36.94,54,Blanco
12,70.28,54,Blanco
6,41.71,52,Blanco
9,79.42,52,Blanco
7.4,27.55,52,Blanco
11,39.88,52,Blanco
9,17.27,52,Blanco
11.2,152.6,51,Blanco
7,27.77,52,Blanco
7,26.57,52,Blanco
11.2,40.92,52,Blanco
10,152.65,62,Mamey
10,136.74,61,Mamey
7.2,37.52,60,Mamey
11,165.58,60,Mamey
5,48.74,59,Mamey
10,183.55,59,Mamey
8.8,101.49,59,Mamey
12.8,206.24,27,Mamey
14,166.16,27,Mamey
11,120.61,22,Mamey
10.8,79.31,57,Mamey
9,58.59,58,Mamey
6.2,44.58,54,Wild
10.2,86.52,54,Wild
5,37.9,54,Wild
12.8,47.4,55,Wild
10.6,53.17,55,Wild
6,27.27,55,Wild
18,59.83,55,Wild
8.6,64.2,53,Wild
6,31.32,53,Wild
11.6,14.05,54,Wild
9.4,32.69,52,Wild
6.2,35.66,52,Wild
6.4,24.72,52,Wild
6.4,20.36,52,Wild
6,32.29,52,Wild
4.1,28.66,52,Wild
13.1,15.64,52,Wild
9.8,55.85,52,Wild
9.4,17.76,52,Wild
6,44.61,56,Tenamaxtle
8.4,78.44,55,Tenamaxtle
6,54.12,56,Tenamaxtle
8.8,74.62,56,Tenamaxtle
6.6,31.26,56,Tenamaxtle
5,33.16,56,Tenamaxtle
7,51.15,56,Tenamaxtle
10.2,92.16,55,Tenamaxtle
9.4,179.54,55,Tenamaxtle
7.4,53.59,55,Tenamaxtle
5.5,47.28,55,Tenamaxtle
7.4,65.09,55,Tenamaxtle
9.8,83.63,55,Tenamaxtle
11.4,98.44,55,Tenamaxtle
11,97.35,55,Tenamaxtle
11,115.86,54,Tenamaxtle
13.2,109.03,53,Tenamaxtle
10,64.93,54,Tenamaxtle
10.2,140.12,53,Tenamaxtle
14.4,35.9,53,Blanco
